Volatility 3 Framework 2.8.0

Last Write Time	Hive Offset	Type	Key	Name	Data	Volatile

2024-09-18 12:01:36.000000 UTC	0xce86d2037000	Key	[NONAME]	A		False
2024-09-18 11:18:18.000000 UTC	0xce86d2037000	Key	[NONAME]	MACHINE		False
2024-09-18 10:59:52.000000 UTC	0xce86d2037000	Key	[NONAME]	USER		False
2024-09-18 10:59:36.000000 UTC	0xce86d2037000	Key	[NONAME]	WC		False
2024-09-11 21:25:17.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	ActivationBroker		False
2024-09-11 21:25:17.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	ControlSet001		False
2024-09-11 21:24:57.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	ControlSet002		False
2024-09-18 05:58:37.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	DriverDatabase		False
2024-09-18 10:59:36.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	HardwareConfig		False
2024-09-11 21:25:17.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	Input		False
2024-09-11 21:25:17.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	Keyboard Layout		False
2024-09-11 21:25:17.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	Maps		False
2024-09-16 11:46:35.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	MountedDevices		False
2024-09-11 21:25:17.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	ResourceManager		False
2024-09-11 21:25:17.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	ResourcePolicyStore		False
2024-09-18 10:59:36.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	RNG		False
2024-09-11 21:25:17.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	Select		False
2024-09-16 15:17:24.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	Setup		False
2024-09-11 21:25:17.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	Software		False
2024-09-11 11:29:42.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	WaaS		False
2024-09-16 12:01:05.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	WPA		False
2024-09-18 10:59:36.000000 UTC	0xce86d203b000	Key	\REGISTRY\MACHINE\SYSTEM	CurrentControlSet		True
2024-09-18 10:59:36.000000 UTC	0xce86d20da000	Key	\REGISTRY\MACHINE\HARDWARE	ACPI		False
2024-09-18 10:59:36.000000 UTC	0xce86d20da000	Key	\REGISTRY\MACHINE\HARDWARE	DESCRIPTION		False
2024-09-18 10:59:42.000000 UTC	0xce86d20da000	Key	\REGISTRY\MACHINE\HARDWARE	DEVICEMAP		False
2024-09-18 10:59:36.000000 UTC	0xce86d20da000	Key	\REGISTRY\MACHINE\HARDWARE	RESOURCEMAP		True
2024-09-18 11:19:50.000000 UTC	0xce86d2ae6000	Key	\Device\HarddiskVolume2\EFI\Microsoft\Boot\BCD	Description		False
2024-09-18 11:19:50.000000 UTC	0xce86d2ae6000	Key	\Device\HarddiskVolume2\EFI\Microsoft\Boot\BCD	Objects		False
2024-09-18 11:03:52.000000 UTC	0xce86d2b09000	Key	\SystemRoot\System32\Config\SOFTWARE	Classes		False
2018-09-15 09:08:41.000000 UTC	0xce86d2b09000	Key	\SystemRoot\System32\Config\SOFTWARE	Clients		False
